movie_id,movie_name,year,tags,overview,rating,director,cast
tt9799984,Falaknuma Das,2019,"Telugu, Action, Thriller","Set in the backdrop of the colonies of falaknuma where a group of youngsters fall into unexpected consequences which lead them to a driving pathway of violence, brutality and ruthlessness.",6.3,Vishwak Sen,"Aakash, Ajay, Sunjit Akkinepalli, Master Aman, Hasini Anvi"
tt9135800,Brother's Day,2019,"Malayalam, Action, Comedy, Romance","One day Rony meets an unexpected guest Chandy and they become very close, however, Chandy does not disclose his true identity. Over time Chandy discloses his identity and introduces his daughter Santa and a lot of unexpected events follow.",4.4,Kalabhavan Shajohn,"Prithviraj Sukumaran, Aishwarya Lekshmi, Vijayaraghavan, Madonna Sebastian, Mime Gopi"
tt10541028,Gotro,2019,"Bengali, Drama","Gotro is a film directed by Nandita Roy and Shiboprosad Mukherjee. It is a story of faith, love, and belief, revolving around Mukti Debi, an educated woman who lives alone as her son is settled abroad with his family. Her home, Gobinda Dham, is her pride where she offers her daily prayers to her Radha Gobindo. While her own son stays afar, she finds happiness in taking care of Jhuma whom she treats like her own daughter. Suddenly one day a new guest, Tariq Ali arrives at her place. Does she like Tariq? Is she going to accept him as she did to others?? Let us find this out on this Janmashtami.",7.5,Shiboprosad Mukherjee,"Nigel Akkara, Biswanath Basu, Ambarish Bhattacharya, Soumendra Bhattacharya, Shaheb Chattopadhyay"
tt6937368,The Lift Boy,2019,"Comedy, Drama",The Lift Boy is a coming of age story of a 24-year-old vagabond who is forced to work at a posh building in Mumbai as a Lift Boy when his bread-winning father falls ill.,7.2,Jonathan Augustin,"Moin Khan, Nyla Masood, Sagar Kale, Neha Bam, Damian D'Souza"
tt8785134,Natasaarvabhowma,2019,"Kannada, Action",A supernatural force influences a guy's behaviour and helps him finish important tasks.,6.4,Pawan Wadeyar,"Puneeth Rajkumar, Saroja Devi B., Anupama Parameswaran, Rachita Ram, Chikkanna"
tt9248996,Sharmaji Ki Lag Gai,2019,"Hindi, Comedy","Professor Sharma Ji (Brijendra Kala) is quite a prude, but happens to be the sex columnist of 'Jhunjhuna Samachar', a weekly newspaper owned by the wealthy and influential Murli (Krishna Abhishek). Things stir up when Sharmaji's pretty wife Shobha (Mugdha Godse) is eve-teased by Lallan (Hemant Pandey), who manages to cause marital troubles despite being behind bars.",3.6,Manoj Sharma,"Mugdha Godse, Brijendra Kala, Krushna Abhishek, Shweta Khanduri, Mukesh Tiwari"
tt8983218,Shadaa,2019,"Punjabi, Comedy, Music, Romance","Amidst pressures from his parents to hurry up and wed, a young man seeks his perfect match. After many failed attempts with matchmakers, his parents are delighted when their son finally meets the woman of his dreams but things do not go as planned.",6.2,Jagdeep Sidhu,"Diljit Dosanjh, Neeru Bajwa, Sonam Bajwa, Anita Devgan, Hardip Gill"
tt10767976,Fatteshikast,2019,"Marathi, Action, Drama, History","Fatteshikast is a Marathi movie starring Chinmay Mandlekar, Mrinal Kulkarni, Annup Sonii, Ankit Mohan, Mrunmayee Deshpande, Nikhil Raut and Sameer Dharmadhikari in prominent roles. It is a drama directed by Digpal Lanjekar.",8.5,Digpal Lanjekar,"Mrinal Kulkarni, Chinmay Mandlekar, Harish Dudhade, Ajay Purkar, Ankit Mohan"
tt8569206,Little Baby,2019,"Hindi, Family","Little Baby is a story of unconditional love between a father and daughter. Sasha is a 19 year old girl who loves to experiment with her life and in this, she forgets she has a loving father and a mother.",3.6,Shekhar S. Jha,"Priyanshu Chatterjee, Gulnaz Siganporia, Shivani Mahajan, Ravi Khanna, Vijay Raj"
tt8396492,The Great Indian Road Movie,2019,"Malayalam, Adventure, Drama, Family","On regaining his vision after a cornea transplant, a nine-year-old boy embarks on a journey to explore India along with his father.",8.5,Sohan Lal India,"Vijay Anand, Anila, Master Ashray, Madhupal, Prem Manoj"
